Value,Date
13.706,20191202
14.2678947368,20191202
14.2837837838,20191202
14.0547368421,20191202
14.0752631579,20191202
14.148108108099999,20191202
14.134594594600001,20191202
14.0891891892,20191202
14.096216216199998,20191202
14.158857142899999,20191202
14.0963157895,20191202
14.1464864865,20191202
14.218333333299999,20191202
14.1957894737,20191202
14.2464864865,20191202
14.2178378378,20191202
14.2383333333,20191202
14.267027027000001,20191202
14.2648648649,20191202
14.1124324324,20191202
14.0763157895,20191202
14.0724324324,20191202
14.027027027,20191202
14.1508108108,20191202
14.166666666700001,20191202
14.1381818182,20191202
14.161111111099999,20191202
14.211351351400001,20191202
14.267222222200001,20191202
14.18,20191202
14.1745945946,20191202
14.114736842100001,20191202
14.078,20191202
14.0558823529,20191202
14.037368421099998,20191202
14.0772972973,20191202
13.749285714300001,20191202
14.324324324300001,20191210
14.242702702699999,20191210
14.2383333333,20191210
14.271351351400002,20191210
14.3475675676,20191210
14.2951351351,20191210
14.247027027,20191210
14.2216216216,20191210
14.2042105263,20191210
14.2333333333,20191210
14.2205405405,20191210
14.1972972973,20191210
14.219459459500001,20191210
14.228648648599998,20191210
14.1778378378,20191210
14.2,20191210
14.0621052632,20191210
14.1048648649,20191210
14.1281081081,20191210
14.0772972973,20191210
14.11,20191210
14.1816666667,20191210
14.16,20191210
13.9415384615,20191210
14.170810810799999,20191210
14.2091891892,20191210
14.2221621622,20191210
14.2588571429,20191210
14.257297297300001,20191210
14.2081081081,20191210
14.132972973,20191210
14.1967741935,20191210
14.1843478261,20191210
14.0772972973,20191210
14.1163157895,20191210
14.048648648599999,20191210
14.0785185185,20191210
14.0816216216,20191210
14.105945945899999,20191210
14.0828571429,20191210
14.1257894737,20191210
14.1815384615,20191218
14.182162162200001,20191218
14.1221621622,20191218
14.1684210526,20191218
14.1875675676,20191218
14.084571428599999,20191218
14.1565714286,20191218
14.18,20191218
14.1772972973,20191218
14.1508108108,20191218
14.16,20191218
14.190810810799999,20191218
14.2275675676,20191218
14.1854054054,20191218
14.1294736842,20191218
14.1221621622,20191218
14.0272222222,20191218
14.012105263199999,20191218
14.0551351351,20191218
14.101081081099998,20191218
14.111351351400002,20191218
14.0945945946,20191218
14.054054054100002,20191218
14.0647368421,20191218
14.046486486500001,20191218
14.164000000000001,20191219
14.2231578947,20191204
14.1751351351,20191204
14.230588235299999,20191204
14.265,20191204
14.195675675699999,20191204
13.534,20191204
14.27,20191204
14.22,20191204
14.195,20191204
14.166666666700001,20191204
14.1066666667,20191204
14.17,20191204
14.275,20191204
14.1622222222,20191204
14.1672727273,20191204
14.154054054100001,20191204
14.1783783784,20191204
14.2372972973,20191204
14.229189189200001,20191204
14.3297297297,20191204
14.3027777778,20191204
14.3297142857,20191204
14.233513513499998,20191204
